stim_ending_t,visbility,soundvolume,Opening_text,m,sd,coefVar
1,0,0,Now focus on the Image,1.700487341,1.13981139,0.670285137
1,0,0,Now focus on the Sound,1.574426247,0.794285481,0.504492022
1,0,1,Now focus on the Image,1.618605581,1.250372528,0.772499825
1,0,1,Now focus on the Sound,1.838070397,1.170778346,0.636960558
1,1,0,Now focus on the Image,3.192425077,17.1910195,5.384940629
1,1,0,Now focus on the Sound,1.588388628,0.70552798,0.444178438
1.5,0,0,Now focus on the Image,1.856114731,0.71796916,0.386812921
1.5,0,0,Now focus on the Sound,2.036873208,0.713440884,0.350262786
1.5,0,1,Now focus on the Image,1.926697347,1.002310579,0.52022212
1.5,0,1,Now focus on the Sound,2.195584146,1.064024337,0.484620159
1.5,1,0,Now focus on the Image,1.881840143,1.132511202,0.601810524
1.5,1,0,Now focus on the Sound,2.016016643,0.718123362,0.356209045
2,0,0,Now focus on the Image,2.236162879,1.199134326,0.536246414
2,0,0,Now focus on the Sound,2.480961577,0.829593994,0.334384056
2,0,1,Now focus on the Image,2.536386176,3.442572369,1.357274535
2,0,1,Now focus on the Sound,2.566357894,1.222657296,0.476417299
2,1,0,Now focus on the Image,2.228511007,1.742023336,0.781698331
2,1,0,Now focus on the Sound,2.268038599,0.641988344,0.283058826
2.5,0,0,Now focus on the Image,2.362427677,0.890955353,0.377135504
2.5,0,0,Now focus on the Sound,2.525405095,0.530613666,0.210110317
2.5,0,1,Now focus on the Image,2.435964618,1.049996632,0.431039361
2.5,0,1,Now focus on the Sound,2.656768684,0.921232761,0.34674933
2.5,1,0,Now focus on the Image,2.35648512,0.9076182,0.38515762
2.5,1,0,Now focus on the Sound,2.562884399,0.683020587,0.266504641
3,0,0,Now focus on the Image,2.668315602,1.014538814,0.380216948
3,0,0,Now focus on the Sound,2.793060766,0.696522587,0.249376095
3,0,1,Now focus on the Image,2.926708948,2.201444326,0.752191067
3,0,1,Now focus on the Sound,2.990129959,0.881994646,0.294968666
3,1,0,Now focus on the Image,2.622192745,0.883954659,0.337105143
3,1,0,Now focus on the Sound,2.798026293,0.720636381,0.257551683
3.5,0,0,Now focus on the Image,2.839456272,0.807023482,0.284217612
3.5,0,0,Now focus on the Sound,2.9766174,0.670274855,0.22518005
3.5,0,1,Now focus on the Image,2.953143528,0.910690768,0.308380124
3.5,0,1,Now focus on the Sound,3.157347257,0.895803339,0.283720246
3.5,1,0,Now focus on the Image,2.857263255,0.900269558,0.315081068
3.5,1,0,Now focus on the Sound,3.111829495,0.989478635,0.317973281
